98,20.0,78
93,92.9,52
98,48.0,52
75,48.0,72
68,57.5,93
95,80.1,72
63,20.0,78
88,72.5,48
93,92.9,48
78,34.0,63
75,54.0,88
98,58.0,57
48,80.1,88
48,20.0,95
88,65.0,93
84,20.0,81
57,51.0,52
68,65.0,98
93,72.5,52
78,57.5,72
78,58.0,52
84,65.0,68
52,57.5,81
93,72.5,88
84,48.0,95
98,34.0,48
88,80.1,95
84,65.0,48
57,65.0,48
78,80.1,48
81,80.1,84
81,92.9,84
57,80.1,75
93,65.0,95
52,72.5,88
93,48.0,88
68,72.5,98
72,57.5,68
88,80.1,57
72,58.0,88
95,80.1,98
93,65.0,48
78,38.5,68
72,92.9,81
68,38.5,84
84,65.0,84
48,65.0,88
48,54.0,63
48,80.1,78
93,51.0,84
63,72.5,48
78,20.0,88
68,54.0,81
98,92.9,52
95,38.5,57
75,65.0,95
63,80.1,52
57,92.9,98
57,72.5,81
63,20.0,93
75,65.0,63
98,65.0,48
52,72.5,95
88,51.0,84
84,57.5,75
68,51.0,72
57,34.0,75
88,51.0,93
84,58.0,63
98,80.1,81
68,58.0,68
68,48.0,95
57,57.5,52
68,20.0,57
78,20.0,78
98,54.0,88
68,72.5,98
88,80.1,84
52,38.5,98
84,57.5,68
93,72.5,75
75,54.0,63
72,38.5,98
75,72.5,57
72,54.0,78
57,58.0,72
93,20.0,81
48,58.0,81
84,72.5,78
75,20.0,75
78,72.5,81
78,58.0,78
72,72.5,95
93,38.5,68
57,80.1,72
95,34.0,78
75,34.0,93
68,72.5,52
95,57.5,48
98,34.0,93
52,72.5,93
93,92.9,95
88,48.0,78
63,65.0,52
48,57.5,68
75,38.5,88
57,34.0,84
95,48.0,75
88,48.0,57
84,80.1,81
75,80.1,68
52,72.5,75
63,58.0,78
72,57.5,95
48,34.0,68
93,80.1,72
93,48.0,75
98,72.5,52
84,72.5,95
52,65.0,52
81,72.5,78
72,34.0,52
81,72.5,95
52,48.0,81
93,51.0,84
75,20.0,81
